day,month,t_max,t_min,prec,sol_rad
1,1,23.79325,11.76,0.0,19.684
1,2,23.85875,12.89325,0.0,20.4595
1,3,25.25125,14.034,0.0,22.321
1,4,26.564,16.003999999999998,0.0,23.835749999999997
1,5,28.278250000000003,17.20825,0.0,24.802500000000002
1,6,31.4015,17.87275,0.0,22.63925
1,7,30.74525,18.502000000000002,0.0,20.55225
1,8,28.11425,18.284,1.04,18.55475
1,9,28.856749999999998,17.37125,0.16,20.8725
1,10,27.55375,16.047,0.0,20.309
1,11,26.3385,14.136750000000001,0.0,22.29275
1,12,24.736,12.55175,0.0,20.44325
2,1,24.02775,12.125499999999999,0.0,19.605
2,2,24.04375,12.811000000000002,0.0,20.792
2,3,25.2125,13.993,0.0,22.13625
2,4,26.7445,15.9195,0.0,24.204
2,5,28.58775,17.2035,0.0,24.901249999999997
2,6,31.467000000000002,17.895500000000002,0.0,22.74875
2,7,30.616000000000003,18.520249999999997,0.0,20.25625
2,8,28.057,18.2765,2.33,18.7225
2,9,28.880000000000003,17.23425,0.365,20.916999999999998
2,10,27.37975,16.05975,0.0,20.5785
2,11,26.48225,13.986250000000002,0.0,22.2305
2,12,24.7275,12.365,0.0,20.68525
3,1,23.923750000000002,12.1555,0.0,19.37725
3,2,23.9215,12.7685,0.0,20.229499999999998
3,3,24.98325,14.229750000000001,0.0,21.907999999999998
3,4,26.544249999999998,16.0375,0.0,23.99275
3,5,28.43875,17.37675,0.0,24.43075
3,6,31.421249999999997,17.79775,0.0,22.826249999999998
3,7,30.403250000000003,18.6085,0.0,20.09325
3,8,27.976,18.1785,2.16,18.60875
3,9,28.8685,17.134999999999998,0.28,20.676499999999997
3,10,27.330750000000002,16.03075,0.0,20.469749999999998
3,11,26.448,13.95075,0.0,22.011
3,12,24.74875,12.466249999999999,0.0,20.482
4,1,23.61275,11.97725,0.0,19.791
4,2,23.95475,12.917250000000001,0.0,20.4655
4,3,25.18725,14.36075,0.0,21.70925
4,4,26.7175,15.89025,0.0,23.7225
4,5,28.589499999999997,17.34025,0.0,24.128
4,6,31.5725,17.726,0.0,22.7415
4,7,30.178500000000003,18.56325,0.0,19.669249999999998
4,8,28.108999999999998,18.201,3.12,19.1555
4,9,29.09175,17.092,0.0,20.782249999999998
4,10,27.18425,15.97825,0.0,20.44025
4,11,26.31825,14.19075,0.0,21.88675
4,12,24.592750000000002,12.45025,0.0,20.074
5,1,23.6095,12.0885,0.0,19.4525
5,2,23.81275,12.943000000000001,0.0,20.479499999999998
5,3,25.571,14.35675,0.0,22.6435
5,4,26.913249999999998,16.00125,0.0,23.831
5,5,28.215749999999996,17.4875,0.0,23.73275
5,6,31.96425,17.817,0.0,22.524
5,7,29.7075,18.499000000000002,0.0,19.40775
5,8,27.884500000000003,18.33425,5.79,18.66525
5,9,29.1005,17.049500000000002,0.0,21.0195
5,10,27.464999999999996,15.975,0.0,20.92525
5,11,26.240499999999997,14.061000000000002,0.0,21.7845
5,12,24.5535,12.489,0.0,19.76475
6,1,23.314,12.2415,0.0,19.193
6,2,23.86525,12.77975,0.0,20.6175
6,3,25.42075,14.56025,0.0,22.43625
6,4,26.477749999999997,16.0425,0.0,23.5875
6,5,28.131,17.45825,0.0,23.399250000000002
6,6,31.81275,17.867250000000002,0.0,22.07
6,7,29.840250000000005,18.56175,0.0,19.366
6,8,27.984750000000002,18.2165,5.38,19.322
6,9,29.1185,16.913,0.0,20.97325
6,10,27.326249999999998,15.938999999999998,0.0,20.685499999999998
6,11,26.23725,13.928,0.0,21.848750000000003
6,12,24.3275,12.58325,0.0,19.25825
7,1,23.57725,12.08225,0.0,19.68625
7,2,23.9095,12.899750000000001,0.0,20.523500000000002
7,3,25.63675,14.638,0.0,22.9135
7,4,26.674500000000002,16.05725,0.0,24.027250000000002
7,5,28.191750000000003,17.40175,0.0,23.5
7,6,31.969749999999998,18.032249999999998,0.0,21.53275
7,7,29.53,18.65875,0.0,19.37725
7,8,28.067500000000003,18.2165,3.68,19.23675
7,9,28.956,16.944,0.0,20.94175
7,10,27.40025,15.85925,0.0,20.89275
7,11,26.10775,13.976499999999998,0.0,21.6785
7,12,24.12925,12.734,0.0,19.20475
8,1,23.73125,12.1415,0.0,19.645
8,2,24.43875,12.86525,0.0,20.8865
8,3,25.810000000000002,14.680000000000001,0.0,23.28375
8,4,26.87625,16.24725,0.0,24.31475
8,5,28.27325,17.54175,0.0,23.71325
8,6,32.07475,18.0065,0.0,21.824
8,7,29.670499999999997,18.5,0.0,19.81275
8,8,28.134249999999998,18.1105,3.98,19.52225
8,9,29.040249999999997,16.8355,0.0,21.19975
8,10,27.383249999999997,15.99925,0.0,21.200499999999998
8,11,25.9595,13.888,0.0,21.443
8,12,24.1415,12.616249999999999,0.0,19.38425
9,1,23.433500000000002,12.324250000000001,0.0,19.479
9,2,24.4525,13.18425,0.0,20.821
9,3,25.683249999999997,14.569749999999999,0.0,22.87075
9,4,26.908749999999998,16.236250000000002,0.0,24.04175
9,5,28.283499999999997,17.526249999999997,0.0,23.6165
9,6,32.22925,18.10025,0.0,21.69375
9,7,29.732499999999998,18.572,0.0,20.115000000000002
9,8,27.899,18.21275,5.63,19.129749999999998
9,9,29.10575,16.735,0.0,21.438
9,10,27.140750000000004,15.953999999999999,0.0,20.8345
9,11,25.850749999999998,13.734,0.0,20.94575
9,12,24.22525,12.54075,0.0,19.194499999999998
10,1,23.05525,12.342,0.0,18.83825
10,2,24.505000000000003,13.082249999999998,0.0,20.92925
10,3,25.775,14.6865,0.0,23.12375
10,4,26.947750000000003,16.1935,0.0,24.223750000000003
10,5,28.42575,17.631,0.0,23.773
10,6,32.3985,18.031,0.0,22.034
10,7,29.56325,18.601499999999998,0.0,19.684
10,8,27.941750000000003,18.11175,1.0750000000000002,19.27975
10,9,29.054000000000002,16.75025,0.11,21.0145
10,10,27.0935,15.836500000000001,0.0,21.034
10,11,25.611250000000002,13.9005,0.0,20.94125
10,12,24.051,12.484,0.0,19.432750000000002
11,1,22.822,12.419,0.0,18.418
11,2,24.421,13.188999999999998,0.0,20.47475
11,3,26.076749999999997,14.61475,0.0,23.422
11,4,26.783499999999997,16.25675,0.0,24.116999999999997
11,5,28.751749999999998,17.41225,0.0,24.383
11,6,32.27075,18.26225,0.0,21.583000000000002
11,7,29.26925,18.419249999999998,0.0,19.382749999999998
11,8,28.11175,18.2165,0.12,19.64125
11,9,29.090750000000003,16.595499999999998,0.0,21.4405
11,10,27.15575,15.765,0.0,21.20375
11,11,25.637,13.755,0.0,21.19275
11,12,23.9175,12.424,0.0,19.30075
12,1,22.77975,12.399,0.0,18.7305
12,2,24.4205,13.398249999999999,0.0,20.4945
12,3,26.301,14.510499999999999,0.0,23.531
12,4,26.875,16.21925,0.0,24.1055
12,5,28.99525,17.46875,0.0,24.4555
12,6,31.9635,18.34925,0.0,20.955750000000002
12,7,29.022250000000003,18.542250000000003,0.0,19.55825
12,8,28.414749999999998,17.996000000000002,0.0,19.823500000000003
12,9,29.0765,16.53875,0.0,21.4055
12,10,27.117250000000002,15.657499999999999,0.0,21.64
12,11,25.69375,13.616999999999999,0.0,21.39975
12,12,24.04575,12.21425,0.0,19.753999999999998
13,1,23.179,12.228,0.0,19.1955
